CustomerID,Lookalikes
C0001,"[('C0118', 0.9990130770771567), ('C0086', 0.9989006986961401), ('C0027', 0.9985506037811228)]"
C0002,"[('C0029', 0.9997461168235259), ('C0025', 0.9991195354649179), ('C0071', 0.9978931181971934)]"
C0003,"[('C0155', 0.9992208439543775), ('C0022', 0.9979234640638094), ('C0067', 0.9978503910881186)]"
C0004,"[('C0175', 0.998742182825167), ('C0169', 0.9983889601509128), ('C0173', 0.9971276130655868)]"
C0005,"[('C0131', 0.9996674875618617), ('C0132', 0.9984078821465742), ('C0007', 0.9972453857440968)]"
C0006,"[('C0026', 0.993392906623897), ('C0129', 0.9928944983800732), ('C0016', 0.9926021207453927)]"
C0007,"[('C0074', 0.9991569773188048), ('C0120', 0.9977576771953769), ('C0132', 0.9976219026354066)]"
C0008,"[('C0017', 0.987542008174566), ('C0156', 0.983257513533744), ('C0194', 0.9804741295898928)]"
C0009,"[('C0042', 0.990632667291045), ('C0186', 0.9905278994134156), ('C0128', 0.9885222817192333)]"
C0010,"[('C0038', 0.9991272518426463), ('C0134', 0.9977180849821422), ('C0025', 0.996906261198142)]"
C0011,"[('C0023', 0.999307756193707), ('C0107', 0.9985126404165712), ('C0037', 0.997585262553555)]"
C0012,"[('C0195', 0.9991684588307844), ('C0039', 0.998196836035798), ('C0057', 0.9975286090653653)]"
C0013,"[('C0059', 0.9997712575895498), ('C0057', 0.9988694530845156), ('C0087', 0.996740214538817)]"
C0014,"[('C0080', 0.9862258735786793), ('C0015', 0.9858164711964098), ('C0123', 0.9816918295687049)]"
C0015,"[('C0080', 0.9902657377038883), ('C0123', 0.9892398026469947), ('C0014', 0.9858164711964098)]"
C0016,"[('C0036', 0.9990066797160778), ('C0092', 0.9976012513031599), ('C0177', 0.997068159322297)]"
C0017,"[('C0156', 0.9972508079252004), ('C0101', 0.9958519379077886), ('C0136', 0.9947714597632766)]"
C0018,"[('C0013', 0.994180659988806), ('C0059', 0.9933791020435541), ('C0105', 0.9929729263129415)]"
C0019,"[('C0139', 0.9984116299160749), ('C0094', 0.9980883038475628), ('C0088', 0.9974369216871442)]"
C0020,"[('C0110', 0.9937637127101107), ('C0058', 0.993036063929383), ('C0080', 0.9917133666574142)]"
